conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2052030353456660880,Wed May 06 14:18:55 +0000 2026,1,Malam teman teman selamat rabu sudah open pinjaman dana pribadi (pinpri) nominal gede nom big open lagi buat yg butuh guru sekolah mahasiswa yang kesusahan joki pinjol galbay untuk yang belum japo/udah jatuh tempo tag: wtb wts urgent pinjam pinjeman gestun uang duit #zonauang https://t.co/PSo6x4QtxL,2052030353456660880,https://pbs.twimg.com/media/HHpGqAQbcAAErqI.jpg,,in,,0,0,0,https://x.com/undefined/status/2052030353456660880,1224632812122361859,
2052027007589023955,Wed May 06 14:05:38 +0000 2026,0,thats why aku marah banget ktp ku mau dipake pinjol ama kakak ku sampe kubentak bentak kata dia aku yang bayarin kok tepat waktu tapi kita ga tau kedepan nya gimana bisa aja dia telat bayar aku yg dihubungin orang orang ini bahkan aku ga make aja udah sering dapet spam telpon,2052027007589023955,,,in,,0,0,0,https://x.com/undefined/status/2052027007589023955,979574650236690434,
2052026280946651153,Wed May 06 14:02:44 +0000 2026,21,Part 126 off 365 #tiktok : --------------------------- Yang Mau Foto atau Videonya kami RT silahkan tag akun ini Dukung Kami Agar terus Berkembang. Selengkapnya di https://t.co/A71NdD4GUq Butuh dana? Pinjol? 100% approval: https://t.co/uJ6HuQIu94 https://t.co/x4GW9YTgG9,2052026280946651153,https://pbs.twimg.com/ext_tw_video_thumb/2052026266442719243/pu/img/v17sXSiZCg93KUjU.jpg,,in,,0,0,2,https://x.com/undefined/status/2052026280946651153,1264940050124378112,
2052025283658862975,Wed May 06 13:58:47 +0000 2026,5,hai moots kasih aku freelance yg halal dan no tipu2 no judi no pinjol dong #zonauang,2052025283658862975,,,in,,0,22,0,https://x.com/undefined/status/2052025283658862975,1821848213034561537,
2052023130613522834,Wed May 06 13:50:13 +0000 2026,1,gess plis ya. JOKI PINJOL DATA FAKE PINPRI ITU SEMUA NIPU. plis kalian itu lama diperes sama penipu kaya begitu. iya paham BU tapi tolong di crosscheck lagi yaa! banyak bgt yg chat aku dan cerita kalo duitnya abis an kena tipu #zonauang #jokipinjol #pinjamanonline,2052023130613522834,,,in,,0,0,3,https://x.com/undefined/status/2052023130613522834,1625826587940892673,
2052022496229200100,Wed May 06 13:47:42 +0000 2026,0,@Telkomsel makin parah aja ya. Jaringan jelek gak stabil harga kuota makin mahal tapi paketan dipangkas jadi 28 hari doang tiap hari di blast SMS pinjol tiap hari dapet telfon dari nomor asing. Terus masa seminggu sekali gue harus complaint perkara jaringan???? https://t.co/T45EI3yHTH,2052022496229200100,https://pbs.twimg.com/media/HHo_lPHb0AAI1oc.jpg,Telkomsel,in,,0,0,0,https://x.com/undefined/status/2052022496229200100,1583055160409890818,
2051829968456597516,Wed May 06 13:44:37 +0000 2026,0,@brightlyweb3 @Hidupsebagai62 @KapudS640 Plis itu pinjol apa?,2052021720606036158,,brightlyweb3,in,,0,1,0,https://x.com/undefined/status/2052021720606036158,1825935484859854853,
2051804295323074582,Wed May 06 13:43:46 +0000 2026,0,@txtdarigajelas Lah kok gitu responnya? Spam call minta turunin postingan. Udah kayak DC pinjol kejar2 nasabah telat bayar. Hadehhh,2052021505362624799,,txtdarigajelas,in,,0,0,0,https://x.com/undefined/status/2052021505362624799,1841157456359276545,
2051938797550698809,Wed May 06 13:39:58 +0000 2026,1,@KangManto123 Menang telak patut diduga didominasi pinjol dan judol?.,2052020551439585661,,KangManto123,in,,0,0,0,https://x.com/undefined/status/2052020551439585661,1573632007749263360,
2052020507017720177,Wed May 06 13:39:48 +0000 2026,0,kan kata gw mah orang indo skrng gampang bgt emosi kenapa ya? tekanan hidup makin kek tai kah? pada kejerat pinjol?,2052020507017720177,,,in,,0,0,0,https://x.com/undefined/status/2052020507017720177,481767506,
2051932216742338574,Wed May 06 13:34:13 +0000 2026,8,@Yoonius_labb @dollestk @shellenteruni @rawrinajadulu naahhh iniiii. terus kalau kita terlanjur scan qr nya terus ternyata qr pinjol... terus kita langsung buru-buru batalin paymentnya apakah aman aja atau sama bahayanya? misalnya... data kita otomatis kebaca sama mereka begitu scan qr nya.....,2052019101485473882,,Yoonius_labb,in,,0,1,0,https://x.com/undefined/status/2052019101485473882,1139081638460047360,
2051964522047680934,Wed May 06 13:31:30 +0000 2026,0,@neVerAl0nely___ Ekonomi judol pinjol pasti jadi pemicu masalah rakyat pada negara ini.siapa yg salah??,2052018420452085860,,neVerAl0nely___,in,,0,1,0,https://x.com/undefined/status/2052018420452085860,175105632,
2051842771447947495,Wed May 06 13:19:53 +0000 2026,0,@sportygkauminta @pajakocak Seperti berpakaian namun tidak berpakaian sama sekali Ya gpp...yang denial silakan aja kenyataanya kan data rakyat sudah telanjang gak ada usaha buat ditutup-tutupi lagi Tinggal tunggu telpon atau pesan dari pinjol dsb aja udah saking telanjangnya data tadi ,2052015497202512306,,sportygkauminta,in,,0,0,0,https://x.com/undefined/status/2052015497202512306,62191388,
2052015468064723070,Wed May 06 13:19:46 +0000 2026,0,Dihubungin DC pihak ke-3 setelah Galbay pinjol 2 tahun. Mau cicil pelan-pelan tapi masih ada yg lagi rawatan Gimana cara ngadepin DC pihak ke-3 ya???,2052015468064723070,,,in,,0,1,0,https://x.com/undefined/status/2052015468064723070,1350506072486776832,
2051653955198005709,Wed May 06 13:18:51 +0000 2026,0,@insidefolkative Gak punya kerjaan tetap pinjol Main judol jd nya pinjam Mau beli makan gak ada uang/akhir bulan pinjol Mau buka usaha tak ada modal pinjol Mau bayar utang pinjol Mau kredit sesuatu pinjol Bayar tagihan tak ada uang pinjol Kenapa org tak mau pinjamin org Konoha klau udh ngutang ,2052015234747875811,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2052015234747875811,1812748422325374976,
2052014204614549709,Wed May 06 13:14:45 +0000 2026,0,joki tugas membuat kasus posisi terkait peraturan pinjol https://t.co/7zHUstIBzp,2052014204614549709,https://pbs.twimg.com/media/HHo3_SmbwAE9XaP.jpg,,in,,0,0,0,https://x.com/undefined/status/2052014204614549709,1489430359884578822,
2052014099882815911,Wed May 06 13:14:39 +0000 2026,0,Gue nuntut duit gue dibalikin. Dia bayar dan akhirnya gue putus kontak sama dia. Idk deh orangnya udah kayak gimana nasibnya (karena w tau dia jadi punya utang banyak gegara pinjol/penipuan freelance itu).,2052014178492412109,,neskwakfe,in,,0,1,0,https://x.com/undefined/status/2052014178492412109,758590190868766722,
2052014099882815911,Wed May 06 13:14:35 +0000 2026,0,Gue syok dong diboongin. Jadi gue menelusuri statement statement dia yang lain dengan chat adeknya dan adeknya ternyata udah Gedeg samaa dia karena dia udah ikut pinjol segala macem (bahkan sebelum ketipu freelance itu). Gue juga konfirm scerita dia ke temen kerjanya yang w kenal,2052014160284885224,,neskwakfe,in,,0,1,0,https://x.com/undefined/status/2052014160284885224,758590190868766722,
2052012849887920482,Wed May 06 13:09:22 +0000 2026,0,Selama ini gue gapernah blokir mantan gue cuma satusatunya mantan gue yg gue blokir cuma angga dan itu jg karena lo tololbgt anjir main pinjol tp gabisa tanggung jawab. Giliran udah numpuk lo mohon2 minta bantu. Minta bantuan gasi harusnya ke selingkuhannya,2052012849887920482,,,in,,0,1,0,https://x.com/undefined/status/2052012849887920482,1361126899561340928,
2051829968456597516,Wed May 06 13:06:20 +0000 2026,0,@Hidupsebagai62 @ojkindonesia gak bisa diandelin itu petingginya makan duit sogokan pinjol semua. Kasih sanksi pencabutan izin buat Indosaku aja ga punya nyali.,2052012088068047174,,Hidupsebagai62,in,,0,0,0,https://x.com/undefined/status/2052012088068047174,1798649788868833280,
2051719270514696435,Wed May 06 11:16:08 +0000 2026,1,@Yanz8m5p @terminsungitis ha? emang aku ada bahas pinjol?,2051984354826690647,,Yanz8m5p,in,,0,1,0,https://x.com/undefined/status/2051984354826690647,1345687302538985472,
2051719270514696435,Wed May 06 11:12:51 +0000 2026,0,@bahistarlasI @terminsungitis g semudah itu pinjol harus ada verif wajah dongo,2051983528402001972,,bahistarlasI,in,,2,1,0,https://x.com/undefined/status/2051983528402001972,2013272710017658882,
